Цена;Минут до метро;Количество комнат;Площадь;Площадь спален;Площадь кухни;Номер этажа;Количество этажей;Округ_ Центральный административный округ;Округ_Восточный административный округ;Округ_Западный административный округ;Округ_Новомосковский административный округ;Округ_Северный административный округ;Округ_Северо-Восточный административный округ;Округ_Северо-Западный административный округ;Округ_Центральный административный округ;Округ_Юго-Восточный административный округ;Округ_Юго-Западный административный округ;Округ_Южный административный округ;Ремонт_Без ремонта;Ремонт_Дизайнерский;Ремонт_Европейский;Ремонт_Косметический
32300000;4;3;85;60;20;29;29;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
34000000;18;3;57;31;11,4;20;29;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
39200000;11;3;117,9;56,4;34,6;20;20;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
39700000;7;3;88;20;13,9;8;18;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
41000000;1;3;90;60;20;8;13;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
44000000;22;3;103,8;54,6;15,2;2;21;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
45000000;26;3;79;10;13,2;15;20;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
46000000;14;3;123,8;61,4;34;1;16;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
49900000;15;3;66,3;43;6;13;37;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
55000000;4;3;110;80;20;6;8;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
58000000;7;3;90;60;20;14;25;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
64000000;13;3;112;58,8;15,9;17;25;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
67000000;7;3;102,9;12,4;15,2;3;9;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
70000000;3;3;100,9;76,9;12,9;16;22;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
69990000;6;3;160;110;25;3;10;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
69900000;9;3;102;10,7;15,1;7;9;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
76000000;5;3;120,9;93;15;6;12;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
93000000;11;3;141,5;36;18,3;2;8;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
96000000;11;3;100;52,7;14,9;7;18;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
99000000;7;3;126,6;66,1;17,1;6;27;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
115000000;4;3;189;97,7;22,3;41;73;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
129990000;7;3;135;10;17,8;4;8;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
139000000;15;3;100;52,7;14,9;18;21;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
160000000;5;3;114;8,4;16,1;2;6;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
165000000;3;3;135;80;20;4;12;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
194800000;5;3;160;83;19,9;47;54;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
27770000;3;3;67,6;9;12,2;5;12;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
30500000;22;3;60,1;20;11,6;8;30;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
33000000;19;3;65;29;22;15;16;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
33500000;5;3;94,1;49,7;14,4;20;23;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
47000000;2;3;130,2;10;17,4;6;17;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
59900000;11;3;109;63;43,3;12;18;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
64999999;9;3;113,1;18,4;16;3;21;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
99000000;2;3;106,4;10;15,4;5;6;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
115000000;3;3;146;75,9;18,7;4;9;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
139000000;25;3;100;15;14,9;18;21;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
155000000;10;3;125,3;10;17;6;14;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
33400000;14;3;85;62,8;14,4;8;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
35000000;2;3;61;33;11,7;17;39;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
50000000;2;3;108;24;15,6;12;53;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
84000000;9;3;212,4;182,4;25;5;17;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
153000000;6;3;94,1;48,1;14,4;2;8;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
86200000;7;4;244,1;125,5;26,8;21;23;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
73500000;13;4;115;95;7;3;17;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
146000000;5;4;155;120;20;6;7;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
146000000;3;4;153;102;14;6;7;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
37990000;10;4;94,5;49,9;14,5;20;58;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
145000000;6;4;200;103,2;23,2;4;6;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
159000000;15;4;143;74,4;18,5;13;20;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
350000000;6;4;233,2;185;25;6;8;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
169000000;4;4;137;91;7;4;5;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
180000000;10;4;187;27;22,1;7;11;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
125000000;11;4;108,6;64;9;2;9;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
169000000;4;4;137,6;74;12;4;5;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
350000000;6;4;249;150;15;2;6;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
59990000;10;4;108,6;57;15,6;38;58;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
71000000;6;4;135,6;47,9;37,4;11;21;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
289000000;9;4;405;265,6;49,3;20;21;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
61988000;14;4;115,6;65;14,1;3;14;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
43000000;10;4;108,2;56,8;15,6;11;58;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
52500000;10;4;127,5;66,6;17,2;20;58;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
69000000;20;4;92,8;49;14,3;8;14;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
95000000;1;4;201;100;15;14;23;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
125000000;13;4;109;90;10;2;9;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
170000000;15;4;170;88,1;20,7;2;5;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
42000000;6;4;113;59,3;16;4;44;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
270000000;7;4;316;161,9;32,8;6;6;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
59900000;13;4;89;50;20;8;44;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
68000000;4;4;95;68;14;5;6;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
350000000;11;4;216;152;20;4;6;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
190000000;10;4;167,8;60;20,5;20;21;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
40000000;19;4;97,9;65;10;6;12;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
67000000;4;4;84,8;59;10;2;8;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
80000000;17;4;135,7;69,1;9,4;2;41;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
83000000;15;4;138,3;84,2;6,5;24;41;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
110000000;15;4;112,8;64;14,3;10;41;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
120000000;16;4;225;115,9;25,3;5;20;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
125000000;15;4;135,3;95,9;6;37;41;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
155000000;4;4;170;120;20,7;5;6;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
221000000;8;4;240;40;26,5;14;14;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
249990000;2;4;270;138,6;29;9;11;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
43000000;10;4;108;56,7;15,6;11;54;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
130000000;16;4;203,4;105;23,5;10;17;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
155000000;6;4;179,2;92,7;21,5;2;6;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
156000000;8;4;140;72,9;18,2;5;15;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
180000000;7;4;186,8;96,6;22,1;7;11;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
92000000;9;4;169;87,6;20,6;6;6;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
120000000;12;4;136,5;94,7;7,3;23;41;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
155000000;6;4;179,2;92,7;21,5;2;12;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
180000000;7;4;187;96,7;22,1;7;11;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
340000000;13;4;180;126;25;5;7;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
120000000;15;4;135,6;91;9;23;37;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
130000000;6;4;121;63,3;16,7;4;7;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
